CrimeDescription,Category
INTERFERENCE WITH PUBLIC OFFICER INTERFERENCE JUDICIAL PROCESS,MISCELLANEOUS
CRIM SEXUAL ASSAULT ATTEMPT NON-AGGRAVATED,ASSAULT
DECEPTIVE PRACTICE AGGRAVATED FINANCIAL IDENTITY THEFT,FINANCIAL CRIME
THEFT ATTEMPT FINANCIAL IDENTITY THEFT,FINANCIAL CRIME
ROBBERY ATTEMPT ARMED: HANDGUN,VIOLENT CRIME
NARCOTICS MANU/DEL:CANNABIS OVER 10 GMS,NARCOTICS
INTERFERENCE WITH PUBLIC OFFICER REFUSING TO AID AN OFFICER,MISCELLANEOUS
SEX OFFENSE INDECENT SOLICITATION/ADULT,VIOLENT CRIME
BATTERY AGG PRO.EMP: OTHER FIREARM,ASSAULT
INTIMIDATION EXTORTION,VIOLENT CRIME
ROBBERY ATTEMPT: AGGRAVATED,VIOLENT CRIME
OTHER OFFENSE GUN OFFENDER - DUTY TO REGISTER,MISCELLANEOUS
OFFENSE INVOLVING CHILDREN HARBOR RUNAWAY,MISCELLANEOUS
NARCOTICS ATTEMPT POSSESSION CANNABIS,NARCOTICS
BATTERY PROTECTED EMPLOYEE: HANDS NO / MIN INJURY,ASSAULT
OTHER OFFENSE SEX OFFENDER: FAIL TO REGISTER,MISCELLANEOUS
INTERFERENCE WITH PUBLIC OFFICER OBSTRUCTING IDENTIFICATION,MISCELLANEOUS
SEX OFFENSE INDECENT SOLICITATION/CHILD,VIOLENT CRIME
"MOTOR VEHICLE THEFT ATT: TRUCK, BUS, MOTOR HOME",THEFT
NARCOTICS SALE / DELIVER - DRUG PARAPHERNALIA,NARCOTICS
GAMBLING SPORTS TAMPERING,MISCELLANEOUS
KIDNAPPING UNLAWFUL INTERFERE/VISITATION,VIOLENT CRIME
"MOTOR VEHICLE THEFT CYCLE, SCOOTER, BIKE WITH VIN",THEFT
OTHER OFFENSE DISCLOSE DV VICTIM LOCATION,MISCELLANEOUS
OTHER OFFENSE VIOLATION OF BAIL BOND - DOMESTIC VIOLENCE,MISCELLANEOUS
NARCOTICS MANU/DELIVER:CRACK,NARCOTICS
THEFT OVER $300,THEFT
"MOTOR VEHICLE THEFT ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",THEFT
OTHER OFFENSE VIOLENT OFFENDER - FAIL TO REGISTER NEW ADDRESS,MISCELLANEOUS
CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER FIREARM,ASSAULT
OTHER OFFENSE TELEPHONE THREAT,MISCELLANEOUS
NON-CRIMINAL (SUBJECT SPECIFIED) NOTIFICATION OF CIVIL NO CONTACT ORDER,MISCELLANEOUS
